word/phrase,value,class
horizontal,20
patent,169
commercial,5
benefit,1
sophisticated,4
strategy,12
oliver,5
baldus*,1
chris,5
heckmann,5
evaluates,1
economic,13
aspect,1
basis,2
value,22
chain,22
production,9
speciﬁcally,3
aim,1
classify,1
perform,1
qualitative,1
differentiation,1
type,12
context,1
modern,2
supply,21
analysing,1
respective,2
strength,2
weakness,1
regard,5
question,3
objective,1
give,5
reader,1
better,1
insight,2
problem,12
facing,1
market,5
actor,1
role,2
situation,14
well,10
viable,2
governance,6
overcoming,1
legally,2
speaking,2
affords,1
owner,7
level,3
protection,12
right,33
prohibit,1
unauthorized,1
use,4
invention,4
differ,1
greatly,1
however,12
actual,4
enforceability,2
account,5
discrepancy,1
monetary,4
reﬂect,1
dependent,3
primarily,2
patent-owner,1
respect,4
classiﬁed,1
mainly,2
vertical,13
external,3
act,1
merely,3
passive,2
defence,5
mechanism,8
competitor,17
potential,13
inﬂuence,3
contractual,10
relationship,15
directly,6
used,11
really,2
prevent,3
unwanted,1
usage,1
protected,4
deliberate,1
modiﬁcation,1
characteristic,7
allows,4
creation,1
new,5
economy,2
based,3
division,1
labour,1
ie,8
ﬁnal,1
product,7
manufactured,1
assembled,1
sequentially,1
number,3
independent,3
entity,2
sequence,2
company,27
ﬁrms,18
passed,1
termed,3
typically,2
begin,1
processing,1
raw,1
material,1
end,6
completion,1
market-ready,1
real,2
involve,1
enormous,1
amount,1
email,1
author,1
dr,1
baldus,6
studied,1
physic,1
economics,4
university,3
bayreuth,2
working,2
several,1
year,1
business,8
major,1
law,7
ﬁrm,25
munich,1
attorney,1
consultant,1
germany,1
graduate,1
candidate,1
philosophy,1
various,2
examines,1
nature,7
usefulness,2
govern,1
effectively,2
direct,5
overall,1
inherent,3
formal,7
always,2
exercisable,2
degree,5
would,12
desirable,1
due,10
informal,9
restriction,4
changed,1
order,8
make,4
effective,5
figure,23
combination,1
show,5
simpliﬁed,2
car,5
rectangle,2
represent,2
different,7
delivery,1
good,4
one,15
next,1
indicated,1
arrow,2
accordingly,2
start,1
left,1
side,1
step,2
added,1
illustrate,2
steel,12
producer,24
mine,1
ore,1
delivers,2
gear,17
manufacturer,9
process,4
gearbox,4
turn,1
particular,9
valueadded,1
arranged,1
vertically,2
differentiated,1
accordance,2
segment,2
cover,2
lower,10
instance,1
might,9
whose,3
overlap,1
also,10
extends,2
partially,1
example,15
another,4
produce,3
prepares,1
alloy,2
purpose,1
thus,16
representing,3
size,5
position,9
upper,8
steelalloy,1
scheme,1
may,1
deliver,1
primary,1
component,1
assemble,1
addition,2
part,3
two,10
operating,2
area,8
owns,6
actually,4
sometimes,3
called,1
troll,3
way,3
simple,1
representation,2
activity,2
making,5
relative,1
involvement,1
easily,7
discernible,1
expanded,1
including,1
involved,2
represented,4
dot,1
technological,3
scope,14
ellipsis,1
varying,2
extending,2
either,3
horizontally,1
classiﬁcation,2
subsequent,2
derivation,1
zero,2
low,5
pertain,1
technology,9
remain,2
completely,3
within,4
patent-owning,2
kind,2
corresponding,1
interested,1
economical,2
inability,1
regain,1
cost,6
spent,1
granted,3
maintained,1
argued,1
getting,2
necessary,2
obtain,2
thereby,5
avoiding,1
risk,6
third,1
party,6
prohibition,2
important,2
argument,1
carry,1
little,1
weight,1
since,14
preventing,2
self-used,1
tech,1
beneﬁts,3
nology,1
achieved,4
virtually,1
simply,3
disclosing,1
case,10
could,6
relate,3
special,1
method,3
mining,1
made,4
geographical,1
location,1
scenario,2
conﬁned,1
technical,3
similar,3
class,4
found,3
monopolist,1
highly,1
specialized,1
customer,1
bound,2
long-term,2
contract,27
monopsonists,1
latter,1
required,1
able,5
sole,1
demander,3
producing,5
sell,2
anyway,1
tank,2
muzzle,1
cannot,6
gain,3
anything,1
seeking,1
existing,6
reality,3
exception,1
tend,2
merge,2
much,1
larger,1
group,3
fully,3
reach,1
reason,2
weak,2
legal,11
shown,3
beyond,2
border,1
affect,6
neither,2
direction,5
owning,2
granting,2
country,1
located,3
abroad,2
presently,1
economically,1
cost-efﬁcient,1
common,1
belonging,1
national,2
extend,2
solution,7
available,1
eg,10
non-infringing,1
workaround,1
extremely,1
small,1
fall,3
detecting,1
infringement,1
possible,4
many,2
summary,3
efﬁciently,1
enforced,1
geo,1
patent-based,1
cooperation,2
effect,3
graphical,1
considered,3
sure,1
exceeds,1
occupy,1
belong,2
ﬁrst,2
ﬂedged,1
mean,3
principle,1
enforceable,2
practice,3
constitute,4
largest,1
originate,1
conducted,1
using,2
research,1
development,1
exclusion,2
often,8
exercised,1
usually,2
v-type,1
counter,2
mutual,2
interdependency,4
arises,3
leading,1
stand-off,2
enforcing,1
automatically,1
lead,2
retaliation,1
resulting,2
conﬂicts,2
unnecessarily,1
waste,1
resource,1
won,1
coexistence,2
collaboration,1
occur,1
punching,1
hole,1
standoff,1
resolved,1
tolerating,1
expressed,1
formally,1
crosslicensing,1
agreement,4
therefore,1
serve,4
hostile,3
attack,3
factor,4
aggressive,1
marketing,1
sense,3
deterrence,1
discourage,1
injunction,1
provisional,1
mutually,3
assured,1
destruction,1
general,2
stated,1
establish,3
rule,2
form,5
exist,1
even,6
prohibited,1
competition,1
although,2
theoretically,4
exert,2
possibility,1
ignored,1
aforementioned,1
competitive,2
arising,2
light,1
consequently,2
limited,1
signiﬁcantly,2
short,1
useful,1
mighty,5
name,1
suggests,1
take,2
along,1
supplier,4
patron,1
understand,1
digress,1
brieﬂy,1
ﬁeld,1
institutional,1
client,6
deﬁned,2
complete,2
every,3
single,2
contingency,1
arise,2
course,1
specify,1
done,1
leaving,1
room,1
interpretation,2
constructed,1
ideal,1
exhibit,3
open,1
vulnerable,1
exploitation,4
gap,7
undeﬁned,1
see,1
address,1
must,3
examine,1
speciﬁc,11
incomplete,2
hold-up,18
rise,3
investment,13
relating,2
bought,3
certain,2
machine,3
vendor,1
partner,7
dedicated,1
put,1
longer,2
change,5
without,2
losing,1
signiﬁcant,2
portion,1
assumes,1
sold,1
hence,1
term,6
speciﬁcity,5
gain-maximizing,2
exploit,4
demanding,1
renegotiation,2
price,4
decrease,1
prudent,2
anticipate,2
attempt,5
avoid,4
requiring,2
though,3
efﬁcient,3
cooperate,2
transaction,4
place,1
concern,1
exploited,5
long,3
investing,2
worse,1
choose,2
invest,2
know,1
high,4
realistic,1
imagine,3
let,1
call,1
autostar,6
asks,1
box,6
exclusively,1
lucrative,1
undergo,1
fundamental,1
transformation,2
get,1
buying,2
machinery,1
solely,1
undergoing,1
opportunistic,1
aware,2
dependency,2
demand,2
reduction,3
citing,1
unforeseeable,1
circumstance,1
ﬁnancial,1
crisis,1
plummeting,1
sale,2
needed,1
still,1
willing,1
buy,1
albeit,1
reduced,1
seeing,1
forced,1
accept,1
proprietary,2
software,10
handling,1
electronically,1
installed,1
incurring,1
adapt,1
fundamentally,1
transform,1
system,2
program,1
fact,2
improved,1
bargaining,1
negotiation,1
increasing,2
williamson,2
oxford,1
press,1
relation,2
econ,1
typical,2
event,1
preceding,1
decision,3
calculus,1
payoff,6
structure,2
amendment,1
maintenance,1
update,1
signing,1
refrain,1
constitutes,1
best,3
need,2
seen,2
opening,1
effectuated,2
alternative,1
exploiter,1
per,1
cent,1
proﬁts,3
subsequently,2
sample,1
tree,1
associated,6
branch,1
anticipation,1
hold,3
earning,1
rather,2
risking,1
optimal,1
accompanied,3
result,1
underinvestment,1
meaning,1
highest,1
together,2
dynamic,1
described,2
inefﬁcient,2
outcome,3
suitable,1
mitigates,1
safely,1
generally,1
governing,2
dramatically,1
in-house,1
becomes,2
increasingly,1
involving,1
carried,1
increase,7
conversely,1
determines,1
organizational,1
tactic,1
known,1
integration,1
enter,2
non-compete,1
clause,2
alleviate,2
ahead,1
fashion,2
strengthen,1
perhaps,1
importantly,1
ability,2
mitigate,1
posed,2
considering,1
affecting,2
operation,1
recalling,1
previous,1
holding,1
autostars,1
manufacturing,1
running,1
hit,1
capability,2
likewise,1
distributed,1
shield,1
giving,1
exercise,1
prohibitive,2
contracting,2
ﬁll,1
positively,1
avoided,1
allowing,1
promoting,1
point,1
view,3
outsource,1
patent-protected,1
service,1
reduces,1
social,2
frequently,2
monopolization,1
strong,1
patens,1
outweighed,1
efﬁciency,1
brought,1
beneﬁt,1
safeguarding,1
contribute,1
reducing,1
versatile,1
valuable,4
tool,3
helpful,1
strategic,1
concerning,1
outsourcing,1
serving,1
mitigating,1
truly,1
superior,2
given,2
word,1
competing,1
taken,1
consideration,1
deciding,1
employ,1
offering,1
broadest,1
variety,1
exertion,1
allow,1
enable,1
charge,1
licence,1
fee,1
blend,2
contrast,2
clearly,1
neat,1
regarded,1
previously,1
mentioned,1
regularly,1
concurrently,1
tends,3
manner,1
attributed,1
dominate,1
blended,2
especially,1
clear,1
far,1
complex,1
depicted,1
coase,1
firm,1
economica,1
blackwell,1
fit,1
publishing,1
seller,1
try,1
later,1
buyer,1
non-interference,1
smaller,1
ellipse,1
indicates,2
verticalization,13
reduce,1
employability,1
viewpoint,2
purchasing,1
reasonable,1
measure,4
deter,1
selling,2
seems,1
rational,1
inﬂuencing,2
shielding,1
horizontalization,7
rotating,1
plane,1
transferring,4
nevertheless,1
turning,2
exceed,1
externalization,4
subject-matter,1
freeing,1
three,1
tactical,1
combined,1
crossverticalization,1
transfer,1
cross-horizontalization,1
exchange,1
horizontalizes,1
verticalizing,1
concept,2
building,3
block,3
key,1
designing,3
understanding,1
modiﬁed,1
transforming,1
individual,1
underlying,1
already,1
denoted,1
operate,1
ownership,2
transferred,1
affected,1
remains,1
unchanged,1
higher,1
shall,1
subject,1
future,1
owner-dependent,1
evaluation,1
illustration,1
strongly,2
depends,3
deterring,1
actively,2
correspondingly,1
undesirable,1
unavoidable,1
andor,1
utilized,1
full,2
extent,2
absence,1
come,1
equal,1
proportion,1
accessed,1
changing,1
environment,1
cause,1
shift,1
valuation,1
relevant,1
accounting,1
issue,1
drastically,1
become,1
dangerous,1
weapon,1
wrong,1
hand,1
externalized,1
noted,1
illustrated,1
consistently,1
contributed,1
largely,1
determined,1
exercisability,1
