word/phrase,value,class
relationshp,1
trade,350
development,97
particular,22
reference,6
service,147
may,59
benejit,1
experience,6
aly,1
relationship,10
developing,294
country,425
system,50
continuously,1
subject,7
research,4
analysis,22
possible,12
capture,1
legal,22
nature,9
brief,1
statement,10
would,66
course,14
dynamic,1
centred,1
formulate,5
exception,6
presumably,3
considered,7
proper,2
discipline,5
also,42
provide,10
non-reciprocal,8
preference,60
deviation,2
basic,7
principle,29
particularly,13
most-favoured-nation,1
standard,12
enable,9
become,5
active,4
effective,5
participant,5
international,70
adviser,1
kuwait,1
fund,3
arab,2
economic,53
department,1
world,57
bank,28
former,8
counsellor,1
egyptian,1
council,15
state,14
view,11
expressed,4
solely,2
author,6
attributed,6
institution,51
associated,1
&scussions,1
history,19
see,76
generally,19
kenneth,1
dam,8
law,5
oganization,1
university,3
chicago,2
press,7
robert,2
hudec,13
publication,6
policy,71
centre,1
london,1
pradip,1
ghosh,1
ed,6
third-,1
greenwood,1
connecticut,1
anne,1
krueger,9
nation,12
brookings,2
washington,10
stephan,1
haggard,3
politirs,1
global,3
integration,11
martin,3
man,1
winter,3
uruguay,38
round,63
economy,24
discussion,7
paper,2
srinivasan,2
multilateral,70
trading,10
westview,1
boulder,1
colorado,1
jag&sh,1
bhagwati,5
fair,1
harmonization,1
cambridge,2
massachusetts,2
jagdish,3
splintering,1
disernbodiment,1
pp,18
giarini,1
emerging,2
praeger,1
new,15
york,1
john,1
jackson,1
relation,12
second,5
edition,1
original,2
entitled,3
governmental,2
assistance,21
development-generally,1
recognized,6
right,10
certain,16
requirement,14
withdraw,6
concession,13
included,10
schedule,18
needed,13
protect,2
industry,8
enabled,4
restrict,3
import,19
lenient,1
condition,6
available,7
member,36
order,4
address,9
balance-of-payments,5
difficulty,9
relevant,9
provision,7
footnote,71
need,27
reciprocate,2
tariffor,1
barrier,17
reduction,16
granted,12
developed,103
invoke,1
vis-d-vis,3
treatment,46
respect,11
confiied,1
part,29
whch,5
added,1
thereto,1
contracting,22
party,27
decision,10
customarily,1
referred,6
enabling,13
clause,18
in&,1
merchandise,7
instrument,18
special,14
preferential,30
introduced,5
body,11
together,3
related,11
institutional,16
arrangement,14
effectiveness,1
approach,18
promoting,2
cause,5
measure,62
critically,2
analysed,1
numerous,4
literary,2
writing,3
either,8
underlying,3
practical,2
quantifiable,2
impact,9
enhancing,3
advancement,1
debate,7
preceding,1
negotiation,90
first,13
regulation,11
general,27
agreement,67
services-,1
greatly,1
influenced,2
concern,9
demand,21
governed,1
throughout,1
earlier,8
goods*,1
formal,7
outcome,5
basically,4
similar,8
recognize,1
status,6
broadly,2
confirmed,6
deserving,2
liberalization,49
however,21
markedly,2
different,8
addition,6
fact,15
traded,1
mode,8
cross-border,4
thought,3
held,3
import-substitution,3
entailing,4
protective,2
acceptable,2
response,5
acute,1
exchange,6
gap,2
problem,4
ie,8
inadequacy,2
export,60
earnings,1
meet,2
sustain,1
growth,8
target,5
theory,4
appropriate,9
period,5
protectionist,2
eventually,1
lead,2
higher,6
efficient,3
competitive,1
thus,26
greater,6
participation,8
evaluation,2
validity,1
ofthis,1
supra,60
ofthe,6
specifically,5
situation,13
ofdeveloping,1
w,1
followed,8
installation,1
tokyo,5
tradc,2
so-,1
called,7
generalized,4
individually,4
apply,11
tailored,1
fit,2
supm,2
formation,1
within,23
so-called,2
committee,19
selected,2
document,9
