word/phrase,value,class
journal,6
intellectual,9
property,10
law,24
practice,10
vol,6
red,115
sole,88
diary,7
tale,1
enforcement,3
louboutins,73
position,32
mark,277
carina,8
gommers,8
eva,8
de,26
pauw*,1
louboutin,73
issue,14
unnecessary,1
introduce,1
french,17
high,2
fashion,7
shoe,96
manufacturer,4
celebrity,1
darling,1
fame,1
worldwide,2
high-heeled,11
redsoled,1
fashionistas,1
dream,1
probably,3
caused,1
sleepless,1
night,1
trade,139
ofﬁcers,1
judge,5
rule,7
validity,7
consisting,8
colour,80
pantone,11
applied,19
might,1
said,6
speciﬁc,5
unconventional,2
type,5
arrived,1
scene,1
rather,3
recently,4
notion,3
used,4
relation,5
sign,25
consists,10
element,9
ﬁgurative,13
etc,2
positioned,3
particular,5
part,14
product,26
proportion,1
size,4
see,40
guideline,4
examination,4
ofﬁce,4
harmonisation,4
internal,4
market,7
design,10
community,20
par,4
example,5
rejected,11
depicted,6
however,18
accepted,6
addition,7
distinct,2
sui,1
generis,1
related,2
call,2
pattern,8
ie,13
set,1
repeated,1
regularly,2
intended,2
cover,2
entire,3
surface,5
good,17
louis,3
vuittons,1
chequerboard,1
revoked,2
lack,7
inherent,12
distinctive,22
character,22
acquired,20
distinctiveness,19
could,8
proven,1
member,3
state,4
include,1
whereas,9
mentioned,4
non-exhaustive,2
list,2
author,9
partner,1
pauw,7
senior,1
associate,2
intends,1
provide,1
reader,1
cross-border,1
overview,7
decision,22
handed,1
struggle,1
obtain,5
registration,18
famous,3
well,4
enforce,2
infringement,12
proceeding,10
court,133
also,41
excellent,1
starting,1
point,3
address,5
wider,1
so-called,3
justice,1
european,6
union,1
general,14
far,1
refrained,1
explicitly,1
qualifying,2
belonging,3
either,6
traditional,3
category,3
several,7
national,5
taken,1
qualiﬁed,7
others,5
assessed,2
shape,41
something,1
consequence,3
choice,1
important,6
instance,27
risk,10
excluded,2
protection,12
giving,4
substantial,17
value,18
exclusion,15
ground,23
cannot,6
overcome,4
undisputed,2
renown,1
least,3
one,4
considered,2
reaching,1
guidance,2
matter,4
finally,2
discus,2
impact,1
published,3
new,6
legislation,3
likely,3
email,1
com,1
exhaustive,2
may,7
case,78
aware,3
sought,3
injunction,11
based,15
copyright,5
certain,5
paris,16
appeal,36
th,2
ch,4
june,5
feraud,2
et,3
al,2
darts-ip,1
tribunal,6
grande,6
march,5
april,4
vuitton,2
malletier,2
handelsgesellschaft,2
fu¨r,2
geschenkartikel,2
co,4
currently,1
reference,2
number,7
oxford,1
university,1
press,1
right,4
reserved,1
doijiplpjpw,1
trademark,6
reﬂects,1
another,6
distinguished,1
among,1
thing,1
stylized,1
face,1
attached,7
clothing,3
collar,2
always,2
namely,2
inner,3
side,1
centre,1
approximately,1
cm,1
beginning,1
two,2
star-shaped,1
eye,1
three-dimensional,4
semioval,1
mouth,1
simply,4
shirt,1
end,1
leaving,1
rest,1
move,2
freely,1
manufactured,1
known,2
rib,1
ribbed,1
fabric,1
combination,3
black,6
grey,2
exterior,2
tractor,1
bonnet,3
roof,1
wheel,1
arch,1
light,3
dark,1
horizontal,1
stripe,2
front,1
grill,1
chassis,1
vertical,2
trim,1
illustrative,1
representation,9
application,26
green,1
yellow,1
letter,2
device,1
appearing,1
aforementioned,1
elsewhere,1
hereto,1
building,1
canopy,1
pole,1
shop,4
fascia,1
component,1
service,2
station,1
constitute,2
art,14
prevent,1
provided,3
meet,5
requirement,5
view,5
registrable,1
indeed,7
evolved,1
time,3
generally,4
sound,1
even,4
hologram,1
valid,2
condition,3
met,2
requires,1
supplied,1
must,5
accompanied,1
description,8
indicating,1
exact,2
nature,6
concerned,2
without,4
actually,4
two-dimensional,3
already,6
made,10
clear,8
series,2
criterion,4
assessing,2
hence,7
possibility,2
basically,1
similar,10
applying,4
appearance,4
para,1
irregular,1
white,1
blown,1
across,1
bottle,1
container,1
class,5
unlimited,1
limited,5
box,1
reproduced,1
body,2
assessment,10
registrability,1
administrative,2
refusal,12
opposition,9
ﬁrst,23
ﬁled,16
november,4
combined,1
semi-ﬁgurative,3
picture,2
bearing,1
word,5
christian,8
vero,2
cuiro,2
italy,4
mentioning,2
code,8
added,3
optional,1
semelle,1
chaussure,2
couleur,2
rouge,1
english,1
mainly,5
depart,2
signiﬁcantly,4
norm,3
custom,3
sector,3
relevant,4
consumer,10
perceive,1
independent,2
feature,6
distinguishable,1
shown,2
often,1
held,4
threshold,1
withstand,1
scrutiny,1
problem,3
proving,3
think,4
additional,4
dimension,4
question,8
applicability,1
confer,3
remedied,1
showing,3
crucial,4
since,12
indicated,2
absolute,5
applies,4
truly,1
yet,3
undecided,1
pending,3
referral,2
say,4
aspect,4
unfortunately,1
resulting,2
sometimes,2
contradictory,1
report,1
dedicate,1
respect,7
january,4
margarete,1
steiff,1
technology,2
swiss,4
september,4
schuhwerk,1
december,7
branding,2
europe,3
inc,1
koenraad,1
increasingly,1
difﬁcult,3
formed,1
basis,2
international,4
designating,2
spain,1
japan,3
refused,3
although,7
previously,1
able,3
special,1
read,5
expanded,1
went,1
learning,1
curve,1
ﬁling,2
strategy,1
try,1
specifying,2
amongst,4
registered,4
objection,1
company,4
later,8
longer,2
conﬁned,2
unspeciﬁed,2
much,3
concise,1
line,8
current,2
represented,1
speciﬁcally,6
claiming,1
seniority,2
benelux,13
except,1
orthopaedic,1
footwear,11
look,2
follows,5
accompanying,1
outline,1
therefore,8
serf,2
show,3
positioning,2
board,6
initial,2
inspired,2
examiner,5
initially,2
refuse,1
per,5
se,5
ruled,18
established,6
would,21
contrary,3
public,3
interest,2
restrict,1
use,24
sol,18
opinion,12
many,2
multitude,1
including,2
prove,2
overturned,5
conﬁrmed,4
mere,4
sense,11
libertel,6
instead,2
relied,6
practical,1
experience,1
brown,2
beige,1
reach,1
conclusion,2
perceived,3
fanciful,1
surprising,1
third-party,1
observation,1
citing,1
isolated,1
internet,1
offer,2
groep,1
merkenbureau,1
stressed,1
importance,1
unduly,2
restricting,1
availability,1
trader,2
sale,4
unexpected,1
easy,1
remember,1
addressed,3
motion,1
allowed,2
limitation,4
survived,1
german,1
roland,4
earlier,2
blue,3
rectangle,1
three,3
ending,1
judgment,19
july,4
given,6
similarity,2
na,1
tional,1
resulted,1
grant,2
serial,1
mention,1
contain,2
isare,1
claimed,3
lacquered,1
outsole,3
contrast,5
adjoining,2
upper,6
portion,3
dotted,1
placement,1
february,1
lady,2
nine,2
country,6
seven,1
ofﬁces,1
issued,2
preliminary,8
four,1
ﬁnally,2
division,1
summoned,2
first,2
declaration,1
committed,1
abuse,1
continuing,1
pursue,1
jurisdiction,3
hear,1
third,1
party,3
found,5
inadmissible,1
seemingly,1
reason,3
proper,1
japanese,1
excluding,1
ﬁnal,2
chinese,2
merely,4
decorative,3
still,3
according,6
latest,1
information,5
individually,1
qualiﬁcation,4
great,1
deal,1
whether,13
directive,8
apply,6
never,3
acquire,1
start,1
taking,4
account,5
france,6
home,2
numerous,1
dealt,1
relying,2
descriptive,3
seizure,3
consequently,1
merit,7
zara,16
commercialized,6
nevertheless,2
listed,1
register,6
status,1
opposed,2
following,1
imposed,6
second,2
circuit,2
designated,2
australia,1
switzerland,1
china,1
monaco,1
norway,1
russian,1
federation,1
singapore,1
ukraine,1
counterclaimed,1
invalid,7
graphical,2
precise,4
self-contained,3
easily,2
accessible,1
intelligible,2
durable,1
objective,1
precisely,7
identify,3
additionally,1
failed,2
deﬁne,1
refer,3
internationally,2
recognized,3
eg,1
