word/phrase,value,class
journal,78
world,44
intellectual,99
property,104
vol,36
pp,7
optimal,44
enforcement,317
music,106
copyright,383
africa,37
reality,4
myth,1
marisella,37
ouma,40
queen,2
mary,2
university,6
london,9
related,28
right,159
country,63
negative,7
impact,5
development,8
industry,52
attested,1
high,13
level,15
piracy,21
within,46
sub-continent,1
ﬁlm,3
book,6
publishing,37
sector,10
lack,14
law,249
indeed,3
existence,6
since,4
colonial,4
era,5
seems,4
part,9
problem,13
although,9
real,3
issue,16
main,7
purpose,5
try,4
conceptualize,1
author,59
hope,2
aid,1
understanding,2
sub-optimal,1
keywords,1
institution,11
core,2
system,43
france,4
instance,22
introduction,2
printing,4
ﬁfteenth,1
century,3
emerged,1
competitor,1
interested,1
party,13
would,59
reproduce,3
work,43
without,22
compensating,3
original,5
stationer,3
resorted,1
obtaining,2
permission,2
king,1
print,1
prohibit,1
person,6
protected,8
publication,1
statute,1
anne,1
hand,8
inspired,2
need,14
company,5
protect,8
unauthorized,13
earliest,1
form,4
protection,18
noted,5
various,39
scholar,5
printer,1
normative,1
institutional,5
attempted,1
deﬁne,2
ﬁelds,1
specialization,1
come,11
similar,11
deﬁnitions,2
philosophical,1
ethical,1
economic,23
legal,34
black,3
dictionary,2
deﬁnes,1
act,67
process,8
ensuring,2
compliance,3
compelling,2
mandate,4
command,4
decree,3
agreement,38
also,25
deﬁned,3
violation,16
investigated,1
sanction,50
applied,6
violator,5
posner,9
may,26
either,15
administrative,7
procedure,19
civil,54
remedy,24
criminal,72
include,22
injunction,7
stop,4
damage,31
entail,4
compensation,4
holder,33
compilation,36
blackwell,36
ltd,38
whereby,3
given,4
custodial,12
sentence,13
andor,1
required,9
pay,11
ﬁne,9
could,13
thus,14
remedial,2
sanctional,1
involves,4
detection,2
punishment,5
speciﬁc,11
target,1
particular,3
group,4
society,33
general,13
public,66
police,31
judicial,7
private,67
agency,42
combination,3
shall,8
discussed,3
requires,3
relevant,6
give,7
force,2
effect,10
obedience,1
requirement,5
one,25
consequence,10
non-conformity,6
context,2
prevention,2
infringement,79
conferred,1
grant,5
exclusive,4
control,3
use,27
statutory,4
go,8
outlaw,1
exception,3
provides,21
three,3
component,1
investigation,7
provided,10
done,3
mandated,4
enforce,14
theoretically,1
exploitation,1
put,7
place,10
assumed,6
abide,7
perfect,3
mere,1
sufﬁcient,4
ensure,24
conformity,14
selfregulatory,1
adhere,6
however,16
possibility,5
lay,2
constitutes,4
granted,4
make,19
provision,56
life,1
might,21
disputed,1
corresponding,1
seek,6
case,118
regard,10
set,14
rule,14
norm,7
addition,2
provide,24
structure,13
mechanism,14
people,9
governed,3
must,5
execute,4
parcel,2
regime,9
exist,8
conform,8
result,8
intended,1
ﬁnes,14
threat,4
well,30
lead,4
restraint,1
deprivation,3
many,10
enough,4
induce,1
avoid,4
breaking,1
area,4
important,9
contract,3
signed,1
enforceable,3
redress,1
event,1
breach,6
aggrieved,1
sue,4
even,9
claim,6
another,5
good,27
example,16
penal,3
code,6
offence,15
penalty,16
committing,5
freedom,3
physical,1
majority,2
small,5
percentage,1
deterred,1
caught,8
face,4
criminalize,4
argue,4
deemed,3
thing,1
population,1
bound,3
deem,1
proper,2
obey,1
like,13
brings,4
whole,4
debate,3
morality,1
easily,4
subject,10
separate,4
thesis,2
research,4
still,4
despite,1
providing,2
clearly,5
state,56
non-conformists,1
developing,9
year,5
stemmed,1
rampant,1
infringing,17
copy,9
dominate,1
market,12
breaching,1
non-existent,1
nominal,4
seen,11
dismal,1
number,5
brought,8
court,42
judgment,5
thereafter,1
illustrate,2
point,9
hypothetical,1
owns,1
distributing,3
business,4
current,9
single,1
last,2
distributed,1
pirated,7
local,8
international,42
repertoire,1
continued,2
ﬂourish,1
expense,2
artiste,3
anytime,1
report,9
matter,9
action,10
taken,3
see,62
cannot,5
afford,1
take,18
poor,1
status,4
continues,2
trade,25
existing,17
contributed,4
situation,9
unfortunately,1
beneﬁt,6
authority,11
prejudicial,1
interest,11
infringe,2
moral,2
made,18
worse,1
new,17
technology,20
allow,3
user,17
access,5
cost,37
want,1
misuse,1
clear,7
available,31
repercussion,1
though,2
fall,1
realm,4
several,13
watch,2
television,1
broadcast,5
read,2
computer,1
program,1
time,18
diminishing,1
value,13
denying,1
others,7
initial,3
subsequent,6
reproduction,6
sold,1
hired,1
imported,3
communicated,1
anything,1
wrong,1
using,7
left,6
unchecked,1
continue,5
commercial,2
broadcasting,7
station,1
restaurant,1
entertainment,3
spot,2
basically,1
mission,1
maximize,2
proﬁts,5
minimum,8
contributes,2
certain,10
extent,5
likely,6
copyright-protected,4
especially,24
digital,11
easier,3
distribute,4
wider,1
necessarily,6
aesthetic,1
intrinsic,2
propensity,1
owner,14
potential,4
raising,1
revenue,3
third,12
divesting,1
item,2
favourite,1
candidate,1
necessary,10
exploited,2
conceptualizing,1
framework,4
enforced,3
generally,5
considered,5
proprietary,1
tort,2
dealt,3
normally,9
serious,3
monetary,6
non-monetary,2
awarded,10
nonmonetary,1
non-custodial,1
community,2
service,4
reputation,1
national,13
account,6
delivery,1
search,5
seizure,6
anton,3
piller,3
order,7
litigation,10
uganda,13
reason,13
ﬁrst,6
curtail,1
otherwise,2
adequately,2
payable,2
negligible,2
relation,6
transgression,5
serve,1
deterrent,7
secondly,8
bring,3
justice,5
judgmentproof,1
unpunished,1
imprisonment,3
higher,11
opposed,2
infringer,11
question,2
whether,4
rely,7
crucial,5
factor,13
determine,8
choice,7
